rms,peak,crest_factor,energy_50hz,energy_100hz,energy_150hz,label
0.3206753134727478,0.6291599273681641,1.9619842767715454,0.1474055051803589,0.06789454072713852,0.13455626368522644,0
0.31773069500923157,0.6782217025756836,2.134580373764038,0.04604566842317581,0.09135238826274872,0.07898079603910446,0
0.34140971302986145,0.9428997039794922,2.7617833614349365,0.0896012932062149,0.0670272558927536,0.07381857186555862,0
0.3511226773262024,0.7063407897949219,2.0116639137268066,0.08800558000802994,0.12249226123094559,0.06613648682832718,0
0.3247417211532593,0.9378499984741211,2.8879873752593994,0.036366723477840424,0.08884138613939285,0.11458347737789154,0
0.3175933361053467,0.9430780410766602,2.969451665878296,0.11110717058181763,0.1420057713985443,0.04149699956178665,0
0.38066813349723816,0.9428415298461914,2.476807117462158,0.10527671873569489,0.43519291281700134,0.05769897997379303,0
0.3331795334815979,0.7338037490844727,2.202427387237549,0.08715565502643585,0.19513416290283203,0.05100385099649429,0
0.33519333600997925,0.7415666580200195,2.212354898452759,0.06726029515266418,0.17001354694366455,0.05992725491523743,0
0.34611260890960693,1.0037076473236084,2.8999452590942383,0.08788586407899857,0.13310685753822327,0.1174573004245758,0
0.3345746397972107,0.9282388687133789,2.7743849754333496,0.07968521863222122,0.15076351165771484,0.0657276064157486,0
0.35641616582870483,0.9187507629394531,2.577747106552124,0.1067960262298584,0.0970304012298584,0.11863669008016586,0
0.4466683268547058,0.958611011505127,2.1461360454559326,0.3224307894706726,0.1857154667377472,0.14054691791534424,0
0.3798002004623413,0.9429206848144531,2.482675552368164,0.06394188106060028,0.19497789442539215,0.07271157205104828,0
0.3809627592563629,0.9766757488250732,2.563704013824463,0.08532499521970749,0.16956369578838348,0.09248530119657516,0
0.37990954518318176,0.6542377471923828,1.7220882177352905,0.07667475938796997,0.17266716063022614,0.04542117193341255,0
0.3821614980697632,0.921759843826294,2.411964178085327,0.08314210176467896,0.08074751496315002,0.13631343841552734,0
0.45149776339530945,0.9405508041381836,2.083179235458374,0.3305908441543579,0.4748956859111786,0.1003197431564331,0
0.41572105884552,0.724879264831543,1.7436673641204834,0.09771692007780075,0.757182240486145,0.07576555013656616,0
0.48492512106895447,0.9470996856689453,1.9530843496322632,0.45317479968070984,0.20535396039485931,0.07335109263658524,0
0.5053070187568665,0.9403505325317383,1.860948920249939,0.39495420455932617,0.6560790538787842,0.14310956001281738,0
0.49289941787719727,0.9694595336914062,1.9668506383895874,0.3356423079967499,0.22183239459991455,0.07653243839740753,0
0.5112950801849365,0.9421048164367676,1.8425853252410889,0.34034788608551025,0.15355132520198822,0.12725652754306793,0
0.6038586497306824,1.1254746913909912,1.863804817199707,0.1976562887430191,0.1101125031709671,0.16353341937065125,0
0.6290301084518433,1.098867654800415,1.746923804283142,0.25361427664756775,0.16337646543979645,0.24055980145931244,0
0.5782900452613831,1.1344521045684814,1.961735486984253,0.20642638206481934,0.09758547693490982,0.2500382661819458,0
0.49019744992256165,1.1655299663543701,2.3776745796203613,0.15026913583278656,0.8385801911354065,0.1041441485285759,0
0.555586040019989,1.2306132316589355,2.214982271194458,0.356945276260376,0.20722724497318268,0.22561851143836975,0
0.6191666126251221,1.1854593753814697,1.9146047830581665,0.29851222038269043,0.19838890433311462,0.21337060630321503,0
0.611775815486908,1.1552059650421143,1.888283133506775,0.22981595993041992,0.13250990211963654,0.19486097991466522,0
0.6037026643753052,1.155022144317627,1.9132301807403564,0.7055558562278748,0.13854123651981354,0.12643295526504517,0
0.5887874960899353,1.1104166507720947,1.8859379291534424,0.47524869441986084,0.153152734041214,0.12986256182193756,0
0.5439788699150085,1.181596040725708,2.172135829925537,0.33086925745010376,0.1367247998714447,0.26256728172302246,0
0.6496285200119019,1.17842435836792,1.8139972686767578,0.5571417808532715,0.12265430390834808,0.18661783635616302,0
0.6690083146095276,1.2297749519348145,1.8382058143615723,1.065460205078125,0.2302584946155548,0.14136852324008942,0
0.7301558256149292,1.196293592453003,1.6384086608886719,0.46232351660728455,0.48727595806121826,0.09051211923360825,0
0.7365400791168213,1.2445487976074219,1.6897231340408325,0.5296842455863953,0.29354754090309143,0.08513578027486801,0
0.7316200733184814,1.1363449096679688,1.5531898736953735,1.5349889993667603,0.1330566257238388,0.1453607678413391,0
0.7685856223106384,1.1863822937011719,1.5435916185379028,0.7912792563438416,0.283515602350235,0.12527458369731903,0
0.7685624957084656,1.3370659351348877,1.7396970987319946,0.20923569798469543,0.6042641997337341,0.114882692694664,0
0.8804618716239929,1.3981163501739502,1.5879350900650024,0.1796044409275055,0.346256285905838,0.3516541123390198,0
0.7881425619125366,1.2682838439941406,1.6092060804367065,0.33862224221229553,0.43535923957824707,0.1617744117975235,0
0.7884792685508728,1.3052287101745605,1.6553747653961182,1.7523956298828125,0.25384292006492615,0.1419808566570282,0
0.7883928418159485,1.2827279567718506,1.6270161867141724,0.30927690863609314,0.8512697219848633,0.20828478038311005,0
0.7319181561470032,1.1667685508728027,1.5941243171691895,0.7443868517875671,0.23888236284255981,0.11598650366067886,0
0.7848977446556091,1.269296646118164,1.6171491146087646,0.47192028164863586,0.5547845363616943,0.21885733306407928,0
0.8309447169303894,1.275054693222046,1.534463882446289,0.20934826135635376,0.29729485511779785,0.4660840928554535,0
0.8760232329368591,1.6707706451416016,1.907221794128418,0.1405143141746521,0.31961846351623535,0.2777590751647949,0
0.8570850491523743,1.6060101985931396,1.8738049268722534,0.24123631417751312,0.2805938720703125,0.43694937229156494,0
0.8534949421882629,1.3653664588928223,1.5997358560562134,0.22520560026168823,0.42218834161758423,0.42497971653938293,0
0.877674400806427,1.560028314590454,1.7774567604064941,0.2247217297554016,0.28696078062057495,0.39034971594810486,0
0.8356818556785583,1.4335813522338867,1.7154630422592163,0.19837039709091187,0.2710093557834625,0.4739431142807007,0
0.8031114339828491,1.252161979675293,1.559138536453247,0.12348714470863342,0.5156935453414917,0.3631616532802582,0
0.7983875274658203,1.3762118816375732,1.7237391471862793,0.2171478271484375,0.28639307618141174,0.29369857907295227,0
0.8316545486450195,1.6017084121704102,1.9259299039840698,0.24879181385040283,0.2866232395172119,0.3745839595794678,0
0.8026723265647888,1.3504292964935303,1.6824166774749756,0.3260546028614044,0.37407588958740234,0.4471084177494049,0
0.8307924866676331,1.5114550590515137,1.8192931413650513,0.1864340454339981,0.17922049760818481,0.24135571718215942,0
0.8242828845977783,1.4480464458465576,1.756734848022461,0.2265973687171936,0.27606698870658875,0.15368545055389404,0
0.8417062163352966,1.4014015197753906,1.6649532318115234,0.15394917130470276,0.2819535732269287,0.38438865542411804,0
0.8047451376914978,1.4198102951049805,1.7642980813980103,0.4018222391605377,0.5007956624031067,0.4045398533344269,0
0.776218593120575,1.2818386554718018,1.6513887643814087,0.2827727496623993,0.35375410318374634,0.3759109675884247,0
0.8201865553855896,1.40555739402771,1.7137044668197632,0.4903494119644165,0.5900374054908752,0.4371146261692047,0
0.7699325084686279,1.2086601257324219,1.5698261260986328,0.551816463470459,0.2395809441804886,0.19035741686820984,0
0.7423286437988281,1.1789119243621826,1.5881266593933105,0.6931433081626892,0.23010800778865814,0.19816574454307556,0
0.757246196269989,1.1458735466003418,1.5132113695144653,0.7891715168952942,0.17353704571723938,0.23562312126159668,0
0.808021068572998,1.2044854164123535,1.4906609058380127,0.8303382396697998,0.31586727499961853,0.2931937277317047,0
0.721291720867157,1.260371446609497,1.7473809719085693,0.5588935613632202,0.36675703525543213,0.34686604142189026,0
1.2768783569335938,2.2457919120788574,1.7588143348693848,0.5933650135993958,0.5104573369026184,0.29899710416793823,0
1.3539345264434814,2.28761625289917,1.6896063089370728,0.6506919264793396,0.6228756308555603,0.7353558540344238,0
1.3781037330627441,2.3881916999816895,1.732954978942871,0.7330666780471802,0.7291300296783447,0.8776851296424866,0
1.3015937805175781,2.4876110553741455,1.9112038612365723,0.7789039611816406,0.6537260413169861,0.5815458297729492,0
0.06605538725852966,1.047562837600708,15.858855247497559,0.04035255312919617,0.04072759672999382,0.039910417050123215,0
0.06875687837600708,0.5851411819458008,8.510293006896973,0.04655108600854874,0.05204710364341736,0.029233574867248535,0
0.6745827198028564,1.6908178329467773,2.506464719772339,0.4342247247695923,0.1955503672361374,0.2854105532169342,0
